N,straight,random,balance,map
N,straight,random,balance,map
4,816,517,464,794
8,1357,935,923,1467
16,3820,2356,2132,2893
32,14581,6790,5777,7047
64,45183,12666,13770,12807
128,166330,27165,33508,28114
256,702655,58973,93607,61379
512,2.58825e+06,154361,346210,146697
1024,1.03738e+07,309499,1.15762e+06,288497
2048,4.11941e+07,673606,3.70044e+06,611852
4096,1.64687e+08,1.56469e+06,1.23159e+07,1.30421e+06
8192,6.61637e+08,3.21702e+06,4.84284e+07,2.77476e+06
16384,2.81442e+09,8.12996e+06,2.04334e+08,7.27666e+06
32768,1.36472e+10,2.10997e+07,8.89777e+08,1.55595e+07
N,straight,random,balance,map
4,658,458,425,780
8,1469,1090,913,1568
16,3986,2542,2214,3203
32,13522,5712,5548,6982
64,48235,12154,13406,14186
128,185782,27997,37059,30983
256,729408,67094,104606,73855
512,2.61942e+06,167112,372014,180511
1024,1.06682e+07,305431,1.09826e+06,284216
2048,4.13926e+07,665079,3.69412e+06,611803
4096,1.65872e+08,1.55053e+06,1.23622e+07,1.31114e+06
